iso3,year,crisis_next_12m,banking_crisis_next_12m,debt_crisis_next_12m,crisis_any,banking_crisis,currency_crisis,debt_crisis,inflation,gdp_growth,unemployment,real_interest_rate_10y
NGA,1967.0,0.0,0.0,0.0,0,0,0,0,-5.251345588235426,-15.7436282082049,-0.6542079722468321,6.9346889958333335
NGA,1968.0,0.0,0.0,0.0,0,0,0,0,-1.3650645423504797,-1.24836024581224,-0.6542079722468321,6.9346889958333335
NGA,1969.0,0.0,0.0,0.0,0,0,0,0,0.17173153017045842,24.1973839456808,-0.6542079722468321,6.9346889958333335
NGA,1970.0,0.0,0.0,0.0,0,0,0,0,0.3482214172807268,25.0072419293896,-0.6542079722468321,6.9346889958333335
NGA,1971.0,0.0,0.0,0.0,0,0,0,0,0.4399685453631166,14.2375315562508,-0.6542079722468321,6.9346889958333335
NGA,1972.0,0.0,0.0,0.0,0,0,0,0,-0.36328805046425744,3.3642620350363,-0.6542079722468321,6.9346889958333335
NGA,1973.0,0.0,0.0,0.0,0,0,0,0,-0.159823320114561,5.39276048395909,-0.6542079722468321,6.9346889958333335
NGA,1974.0,0.0,0.0,0.0,0,0,0,0,0.2995002979747131,11.1606745454862,-0.6542079722468321,6.9346889958333335
NGA,1975.0,0.0,0.0,0.0,0,0,0,0,0.9353932983275028,-5.22774755532079,-0.6542079722468321,6.9346889958333335
NGA,1976.0,0.0,0.0,0.0,0,0,0,0,0.7072917861156872,9.04235172630207,-0.6542079722468321,6.9346889958333335
NGA,1977.0,0.0,0.0,0.0,0,0,0,0,0.4040239367050923,6.02411784954168,-0.6542079722468321,6.9346889958333335
NGA,1978.0,0.0,0.0,0.0,0,0,0,0,0.6332693188923624,-5.76415839390282,-0.6542079722468321,6.9346889958333335
NGA,1979.0,0.0,0.0,0.0,0,0,0,0,0.2531830460197502,6.75943093519177,-0.6542079722468321,6.9346889958333335
NGA,1980.0,0.0,0.0,0.0,0,0,0,0,0.16145928450139985,4.20483104427292,-0.6542079722468321,6.9346889958333335
NGA,1981.0,0.0,0.0,0.0,0,0,0,0,0.6059433150659164,-13.1278804850514,-0.6542079722468321,6.9346889958333335
NGA,1982.0,0.0,0.0,0.0,0,0,0,0,0.020089795192313388,-6.80338881534801,-0.6542079722468321,6.9346889958333335
NGA,1983.0,0.0,0.0,0.0,0,0,0,0,0.6770554093657394,-10.9240850339388,-0.6542079722468321,5.888257380833333
NGA,1984.0,0.0,0.0,0.0,0,0,0,0,0.5070646364351417,-1.11562321716821,-0.6542079722468321,6.6373992375
NGA,1985.0,0.0,0.0,0.0,0,0,0,0,0.001769764668044108,5.91302745911393,-0.6542079722468321,5.660392525833333
NGA,1986.0,1.0,0.0,1.0,0,0,0,0,-0.13214198088357826,0.0609452742066878,-0.6542079722468321,4.048303089166667
NGA,1987.0,1.0,0.0,1.0,1,0,0,1,0.23208761127392805,3.20012546702944,-0.6564893977211016,4.218014031666667
NGA,1988.0,1.0,0.0,1.0,1,0,0,1,1.2787174190285284,7.33402548758716,-0.6587735789329598,4.452901190833333
NGA,1989.0,1.0,0.0,1.0,1,0,0,1,1.2210858253430676,1.91938129589555,-0.6610605230217665,4.4047298725
NGA,1990.0,1.0,0.0,1.0,1,0,0,1,-0.0032682202786457823,11.7768859342067,-0.6633502371552689,4.3208969375
NGA,1991.0,1.0,1.0,1.0,1,0,0,1,0.31481237262212247,0.358352601660286,-0.6656427285297664,3.9339278958333335
NGA,1992.0,1.0,1.0,1.0,1,1,0,1,1.1298933835328144,4.63119294607692,-0.6679380043702627,3.38244437
NGA,1993.0,1.0,1.0,1.0,1,1,0,1,1.3145851369675134,-2.03511877399139,-0.6702360719306147,2.7144275875
NGA,1994.0,1.0,1.0,0.0,1,1,0,1,1.3128146473353808,-1.81492448525675,-0.6725369384936906,3.5351682466666667
NGA,1995.0,0.0,0.0,0.0,1,1,0,0,1.501286534557098,-0.0726647639378371,-0.6748406113715313,3.3100514933333334
NGA,1996.0,1.0,1.0,0.0,0,0,0,0,0.8325008174390607,4.19592404660108,-0.6771470979054942,3.1400511850000004
NGA,1997.0,0.0,0.0,0.0,1,1,0,0,0.07517387003059654,2.93709941924898,-0.679456405466435,3.199334816666666
NGA,1998.0,0.0,0.0,0.0,0,0,0,0,0.16281617075486035,2.58125410192937,-0.6817685414548434,2.626002385
NGA,1999.0,0.0,0.0,0.0,0,0,0,0,-0.058620410882885055,0.584126892918889,-0.6840835133010165,2.8869701641666663
NGA,2000.0,0.0,0.0,0.0,0,0,0,0,-0.03470507018325994,5.01593475931152,-0.6864013284652245,3.1165892308333336
NGA,2001.0,0.0,0.0,0.0,0,0,0,0,0.5433267340003862,5.91768464920371,-0.6887219944378609,2.237447555
NGA,2002.0,0.0,0.0,0.0,0,0,0,0,0.30884699242189173,15.3291557409559,-0.6910455187396203,2.0336032691666666
NGA,2003.0,1.0,0.0,1.0,0,0,0,0,0.3600884336705137,7.34719496799492,-0.6933719089216527,1.4457960183333334
NGA,2004.0,1.0,0.0,1.0,1,0,0,1,0.40038688012274776,9.2505582291798,-0.6957011725657372,1.7008579225
NGA,2005.0,0.0,0.0,0.0,1,0,0,1,0.5085779397327574,6.43851652538348,-0.6980333172844457,1.8895054916666665
NGA,2006.0,0.0,0.0,0.0,0,0,0,0,0.055509675171577656,6.05942803202906,-0.700368350721317,2.2836022075
NGA,2007.0,0.0,0.0,0.0,0,0,0,0,-0.1611419493366178,6.59113036068679,-0.7027062805510218,2.0393217333333333
NGA,2008.0,1.0,1.0,0.0,0,0,0,0,0.24677697123257047,6.76447277780228,-0.7050471144795307,1.3017102483333334
NGA,2009.0,1.0,1.0,0.0,1,1,0,0,0.29311902870296347,8.03692510099023,-0.707390860244294,1.0468915
NGA,2010.0,1.0,1.0,0.0,1,1,0,0,0.34747953584777536,8.00565591628701,-0.7097375256144175,0.8691600608333333
NGA,2011.0,1.0,1.0,0.0,1,1,0,0,0.2079988070768658,5.30792420289453,-0.7120871183908198,0.5260605291666667
NGA,2012.0,1.0,1.0,0.0,1,1,0,0,0.27825202903319507,4.23006117493223,-0.7223142941834028,-0.0132494616666666
NGA,2013.0,1.0,1.0,0.0,1,1,0,0,0.07298384963182641,6.67133539306167,-0.7325973595265044,0.2878436908333333
NGA,2014.0,0.0,0.0,0.0,1,1,0,0,0.04377067625099193,6.30971865525431,-0.45631858389235824,0.61196865
NGA,2015.0,0.0,0.0,0.0,0,0,0,0,0.10504944358319514,2.65269329543001,-0.5337197008062519,0.5890241975
NIC,1960.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,7.49774339849093,-0.9203167008671872,6.9346889958333335
NIC,1961.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,7.49774339849093,-0.9203167008671872,6.9346889958333335
NIC,1962.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,10.8907983290977,-0.9203167008671872,6.9346889958333335
NIC,1963.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,10.8654792457821,-0.9203167008671872,6.9346889958333335
NIC,1964.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,11.6984790301544,-0.9203167008671872,6.9346889958333335
NIC,1965.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,9.52515582624807,-0.9203167008671872,6.9346889958333335
NIC,1966.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,3.30113639858887,-0.9203167008671872,6.9346889958333335
NIC,1967.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,6.96951382476809,-0.9203167008671872,6.9346889958333335
NIC,1968.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,1.34296005265668,-0.9203167008671872,6.9346889958333335
NIC,1969.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,6.23770390833241,-0.9203167008671872,6.9346889958333335
NIC,1970.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,1.35382659012741,-0.9203167008671872,6.9346889958333335
NIC,1971.0,0.0,0.0,0.0,0,0,0,0,-0.024585311655793664,3.30475650020483,-0.9203167008671872,6.9346889958333335
